CY2024 Elect,,,,,,,,,,,,,,,,,,,,,,
BUILDING NAME,ECMC ,RPC,TRCC,E1,E2,E3 (incl Agora Library),E4,E5,E6,W1,W2,W3,"W4, Agora Hall",W5,W6,Sports Complex ,The Arch (1&2),Green House,Blk 43,RPIC,XLC,ALC
March," 372,881.77 "," 53,289.69 "," 81,953.31 "," 91,685.84 "," 25,439.91 "," 47,549.35 "," 54,121.85 "," 57,436.08 "," 26,868.28 "," 26,341.78 "," 69,452.84 "," 37,479.36 "," 70,671.95 "," 47,076.54 "," 37,709.58 "," 56,619.66 "," 22,542.79 "," 16,887.52 "," 98,587.08 "," 48,133.72 "," 1,147.61 ", 266.49 
April," 415,335.01 "," 57,470.82 "," 77,166.18 "," 96,191.47 "," 31,607.92 "," 54,270.68 "," 56,490.92 "," 58,803.13 "," 30,282.45 "," 30,187.38 "," 75,572.71 "," 42,624.79 "," 78,064.86 "," 51,514.12 "," 48,274.78 "," 56,634.66 "," 20,361.06 "," 16,398.96 "," 93,455.88 "," 46,117.32 "," 1,008.20 ", 105.27 
May," 496,705.52 "," 62,709.66 "," 86,846.24 "," 107,402.69 "," 36,681.27 "," 66,072.50 "," 63,354.39 "," 66,286.04 "," 36,121.42 "," 36,899.29 "," 86,113.20 "," 50,636.48 "," 89,946.18 "," 57,227.82 "," 62,988.11 "," 59,019.02 "," 25,601.99 "," 20,732.00 "," 108,540.44 "," 52,797.46 "," 1,067.71 ", 50.31 
June," 476,147.71 "," 57,174.68 "," 74,832.32 "," 100,680.77 "," 33,168.38 "," 62,314.83 "," 59,557.50 "," 61,871.63 "," 31,464.22 "," 30,573.94 "," 80,476.03 "," 47,374.21 "," 79,290.52 "," 53,847.34 "," 54,094.34 "," 58,257.68 "," 25,437.84 "," 21,101.52 "," 102,131.20 "," 50,157.10 ", 750.84 , 18.70 
July," 531,020.52 "," 68,032.37 "," 82,393.63 "," 115,645.78 "," 39,612.78 "," 69,138.44 "," 65,840.30 "," 68,962.78 "," 40,338.33 "," 38,278.44 "," 89,256.29 "," 51,949.89 "," 91,738.37 "," 63,963.23 "," 71,127.47 "," 67,906.79 "," 27,556.12 "," 21,418.00 "," 116,120.52 "," 55,241.08 "," 1,430.55 ", 135.91 
August," 435,929.54 "," 60,850.13 "," 71,179.87 "," 98,377.71 "," 31,329.72 "," 66,289.02 "," 56,374.71 "," 67,592.38 "," 33,064.46 "," 32,878.02 "," 80,825.78 "," 44,482.28 "," 78,228.53 "," 55,413.76 "," 54,398.15 "," 61,150.42 "," 20,999.18 "," 21,188.48 "," 98,186.82 "," 50,587.88 "," 1,173.06 ", 197.98 
September,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,
